,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,year,month,days,boarding_hour,period_of_day,day_of_week,age,travelTime_minutes,travelTime_hours
4036,235,2019-02-28 16:38:35.798,2019-02-28 16:42:31.327,93.0,4th St at Mission Bay Blvd S,37.7704074,-122.3911984,81.0,Berry St at 4th St,37.77588,-122.39317,5402,Customer,1955,Male,No,2019,2,28,16,afternoon,Wednesday,64,3,0
4077,410,2019-02-28 16:31:11.587,2019-02-28 16:38:02.112,3.0,Powell St BART Station (Market St at 4th St),37.78637526861584,-122.40490436553954,34.0,Father Alfred E Boeddeker Park,37.7839879,-122.412408,4600,Subscriber,1955,Male,Yes,2019,2,28,16,afternoon,Wednesday,64,6,0
4094,632,2019-02-28 16:25:15.917,2019-02-28 16:35:48.276,59.0,S Van Ness Ave at Market St,37.774814,-122.418954,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,5842,Subscriber,1957,Male,No,2019,2,28,16,afternoon,Wednesday,62,10,0
4128,1062,2019-02-28 16:14:52.967,2019-02-28 16:32:35.851,5.0,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.4084448814392,132.0,24th St at Chattanooga St,37.7518194,-122.4266139,5261,Subscriber,1957,Male,Yes,2019,2,28,16,afternoon,Wednesday,62,17,0
4263,635,2019-02-28 16:08:58.411,2019-02-28 16:19:33.898,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,30.0,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.395282,5137,Subscriber,1959,Other,No,2019,2,28,16,afternoon,Wednesday,60,10,0
4279,416,2019-02-28 16:11:10.312,2019-02-28 16:18:06.583,193.0,Grand Ave at Santa Clara Ave,37.8127441,-122.2472152,200.0,2nd Ave at E 18th St,37.8002135669698,-122.25381016731262,5650,Subscriber,1958,Male,No,2019,2,28,16,afternoon,Wednesday,61,6,0
4405,515,2019-02-28 15:58:02.376,2019-02-28 16:06:38.331,25.0,Howard St at 2nd St,37.787521780456245,-122.39740490913393,67.0,San Francisco Caltrain Station 2  (Townsend St at 4th St),37.7766392,-122.3955263,4986,Subscriber,1953,Male,No,2019,2,28,15,afternoon,Wednesday,66,8,0
4485,419,2019-02-28 15:49:10.054,2019-02-28 15:56:09.964,249.0,Russell St at College Ave,37.8584732,-122.2532529,269.0,Telegraph Ave at Carleton St,37.8623199,-122.258801,713,Subscriber,1946,Male,Yes,2019,2,28,15,afternoon,Wednesday,73,6,0
4529,530,2019-02-28 15:39:44.135,2019-02-28 15:48:34.780,178.0,Broadway at 30th St,37.8193814,-122.2619284,158.0,Shattuck Ave at Telegraph Ave,37.8332786,-122.2634901,5648,Subscriber,1959,Male,No,2019,2,28,15,afternoon,Wednesday,60,8,0
4532,508,2019-02-28 15:39:49.102,2019-02-28 15:48:17.590,14.0,Clay St at Battery St,37.795001,-122.39997,30.0,San Francisco Caltrain (Townsend St at 4th St),37.776598,-122.395282,4361,Subscriber,1959,Male,No,2019,2,28,15,afternoon,Wednesday,60,8,0
4535,1211,2019-02-28 15:27:36.375,2019-02-28 15:47:48.239,138.0,Jersey St at Church St,37.7509004,-122.4274114,144.0,Precita Park,37.7472996,-122.4114029,6527,Subscriber,1953,Male,No,2019,2,28,15,afternoon,Wednesday,66,20,0
4553,604,2019-02-28 15:35:23.003,2019-02-28 15:45:27.158,17.0,Embarcadero BART Station (Beale St at Market St),37.792251,-122.397086,24.0,Spear St at Folsom St,37.7896767,-122.3904285,6220,Subscriber,1950,Male,No,2019,2,28,15,afternoon,Wednesday,69,10,0
4576,2742,2019-02-28 14:55:23.803,2019-02-28 15:41:06.627,296.0,5th St at Virginia St,37.3259984,-121.87712,296.0,5th St at Virginia St,37.3259984,-121.87712,1166,Subscriber,1957,Male,Yes,2019,2,28,14,afternoon,Wednesday,62,45,0
4601,348,2019-02-28 15:30:56.105,2019-02-28 15:36:44.434,200.0,2nd Ave at E 18th St,37.8002135669698,-122.25381016731262,193.0,Grand Ave at Santa Clara Ave,37.8127441,-122.2472152,5461,Subscriber,1958,Male,No,2019,2,28,15,afternoon,Wednesday,61,5,0
4610,487,2019-02-28 15:27:13.790,2019-02-28 15:35:21.768,274.0,Oregon St at Adeline St,37.8575672,-122.2675583,249.0,Russell St at College Ave,37.8584732,-122.2532529,5088,Subscriber,1950,Male,No,2019,2,28,15,afternoon,Wednesday,69,8,0
4628,1393,2019-02-28 15:09:36.132,2019-02-28 15:32:49.873,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,118.0,Eureka Valley Recreation Center,37.7591769,-122.4369431,6051,Subscriber,1957,Male,No,2019,2,28,15,afternoon,Wednesday,62,23,0
4667,901,2019-02-28 15:09:43.461,2019-02-28 15:24:45.157,247.0,Fulton St at Bancroft Way,37.8677892,-122.2658964,250.0,North Berkeley BART Station,37.873558,-122.283093,5663,Subscriber,1953,Female,Yes,2019,2,28,15,afternoon,Wednesday,66,15,0
4673,270,2019-02-28 15:19:44.192,2019-02-28 15:24:14.726,24.0,Spear St at Folsom St,37.7896767,-122.3904285,13.0,Commercial St at Montgomery St,37.794231,-122.402923,6567,Subscriber,1959,Male,No,2019,2,28,15,afternoon,Wednesday,60,4,0
4708,4159,2019-02-28 14:09:24.397,2019-02-28 15:18:44.295,3.0,Powell St BART Station (Market St at 4th St),37.78637526861584,-122.40490436553954,324.0,Union Square (Powell St at Post St),37.788299978150825,-122.40853071212769,5271,Customer,1958,Female,No,2019,2,28,14,afternoon,Wednesday,61,69,1
4727,692,2019-02-28 15:04:34.013,2019-02-28 15:16:07.002,243.0,Bancroft Way at College Ave,37.8693603,-122.2543374,274.0,Oregon St at Adeline St,37.8575672,-122.2675583,5088,Subscriber,1950,Male,No,2019,2,28,15,afternoon,Wednesday,69,11,0
4783,801,2019-02-28 14:53:11.643,2019-02-28 15:06:32.851,15.0,San Francisco Ferry Building (Harry Bridges Plaza),37.795392,-122.394203,93.0,4th St at Mission Bay Blvd S,37.7704074,-122.3911984,5246,Subscriber,1955,Male,No,2019,2,28,14,afternoon,Wednesday,64,13,0
