,duration_sec,start_time,end_time,start_station_id,start_station_name,start_station_latitude,start_station_longitude,end_station_id,end_station_name,end_station_latitude,end_station_longitude,bike_id,user_type,member_birth_year,member_gender,bike_share_for_all_trip,year,month,days,boarding_hour,period_of_day,day_of_week,age,travelTime_minutes,travelTime_hours
32558,889,2019-02-24 14:00:01.081,2019-02-24 14:14:50.262,61.0,Howard St at 8th St,37.7765126,-122.4113061,23.0,The Embarcadero at Steuart St,37.791464,-122.391034,179,Subscriber,1955,Male,No,2019,2,24,14,afternoon,Saturday,64,14,0
32638,978,2019-02-24 13:47:49.874,2019-02-24 14:04:07.925,18.0,Telegraph Ave at Alcatraz Ave,37.85022187449679,-122.26017236709596,210.0,45th St at Manila,37.8332935222321,-122.25622415542604,5772,Subscriber,1957,Male,Yes,2019,2,24,13,afternoon,Saturday,62,16,0
32648,470,2019-02-24 13:54:52.874,2019-02-24 14:02:42.932,76.0,McCoppin St at Valencia St,37.77166246221617,-122.42242321372034,127.0,Valencia St at 21st St,37.7567083,-122.421025,6261,Subscriber,1945,Male,Yes,2019,2,24,13,afternoon,Saturday,74,7,0
32675,748,2019-02-24 13:45:48.225,2019-02-24 13:58:17.101,5.0,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.4084448814392,61.0,Howard St at 8th St,37.7765126,-122.4113061,6093,Subscriber,1957,Male,No,2019,2,24,13,afternoon,Saturday,62,12,0
32686,1182,2019-02-24 13:36:48.103,2019-02-24 13:56:30.360,20.0,Mechanics Monument Plaza (Market St at Bush St),37.7913,-122.399051,124.0,19th St at Florida St,37.7604469,-122.410807,4569,Subscriber,1959,Male,No,2019,2,24,13,afternoon,Saturday,60,19,0
32701,958,2019-02-24 13:38:23.846,2019-02-24 13:54:22.143,210.0,45th St at Manila,37.8332935222321,-122.25622415542604,183.0,Telegraph Ave at 19th St,37.8087021,-122.2699271,5631,Subscriber,1951,Male,No,2019,2,24,13,afternoon,Saturday,68,15,0
32725,85,2019-02-24 13:49:52.142,2019-02-24 13:51:17.904,174.0,Shattuck Ave at 51st St,37.8368013,-122.2640037,173.0,Shattuck Ave at 55th St,37.8403643,-122.2644881,5176,Subscriber,1900,Male,Yes,2019,2,24,13,afternoon,Saturday,119,1,0
32782,806,2019-02-24 13:29:22.009,2019-02-24 13:42:48.656,5.0,Powell St BART Station (Market St at 5th St),37.78389935708493,-122.4084448814392,70.0,Central Ave at Fell St,37.77331087889723,-122.44429260492323,6570,Subscriber,1959,Male,No,2019,2,24,13,afternoon,Saturday,60,13,0
32809,395,2019-02-24 13:32:43.034,2019-02-24 13:39:18.303,195.0,Bay Pl at Vernon St,37.81231409135146,-122.26077854633331,179.0,Telegraph Ave at 27th St,37.816073115011406,-122.26788640022278,2339,Subscriber,1900,Female,No,2019,2,24,13,afternoon,Saturday,119,6,0
32828,850,2019-02-24 13:21:42.138,2019-02-24 13:35:52.202,21.0,Montgomery St BART Station (Market St at 2nd St),37.7896254,-122.400811,75.0,Market St at Franklin St,37.7737932060887,-122.42123901844025,3649,Subscriber,1943,Male,No,2019,2,24,13,afternoon,Saturday,76,14,0
